Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
Yale Women's Center,Protesting Trump's DACA decision,1,1000.0,2017-09-05,216,New Haven,CT
general protestors,Protesting Trump's DACA decision,1,350.0,2017-09-05,216,New York,NY
general protestors,Rally for DACA,1,400.0,2017-09-05,216,New York,NY
general protestors,Protesting Trump's DACA decision,1,2000.0,2017-09-05,216,New York,NY
general protestors,Protesting Trump's DACA decision,1,2000.0,2017-09-05,216,New York,NY
NYU Dream Team; NYU Sanctuary; NYU Pacific American Coalition ,Protesting Trump's DACA decision,1,70.0,2017-09-05,216,New York ,NY
Students and faculty,Protesting Trump's DACA decision,1,100.0,2017-09-05,216,Normal,IL
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Oberlin,OH
Voces de la Frontera,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,Racine,WI
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,Raleigh,NC
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,Sacramento,CA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-05,216,San Antonio,TX
general protestors,Protesting Trump's DACA decision,1,1000.0,2017-09-05,216,San Diego,CA
general protestors,Protesting Trump's DACA decision,1,1000.0,2017-09-05,216,San Francisco,CA
general protestors,Protesting Trump's DACA decision,1,200.0,2017-09-05,216,San Jose,CA
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-05,216,Sioux Falls,SD
general protestors,Protesting Trump's DACA decision,1,50.0,2017-09-05,216,St. Cloud,MN
general protestors,Protesting Trump's DACA decision,1,100.0,2017-09-05,216,Syracuse,NY
Students,Protesting Trump's DACA decision,1,100.0,2017-09-05,216,Tucson,AZ
general protestors,Rally for DACA,1,200.0,2017-09-05,216,Washington,DC
general protestors,Protesting Trump's decision to end DACA,1,50.0,2017-09-05,216,Yakima,WA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-06,217,Fort Worth,TX
Young People's Resistance Committee,Protesting Trump's decision to end DACA,1,2000.0,2017-09-06,217,Milwaukee,WI
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-06,217,Mishawaka,IN
general protestors,Protesting Trump's DACA decision; demanding action from Senator,1,100.0,2017-09-06,217,Mt. Lebanon,PA
Napa Valley Dream Team,Protesting Trump's decision to end DACA,1,100.0,2017-09-06,217,Napa,CA
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-06,217,Newark,NJ
Political Latinxs United for Movement and Action in Society at VCU,Protesting Trump's decision to end DACA,1,100.0,2017-09-06,217,Richmond,VA
general protestors,Protesting Trump's decision to end DACA,1,50.0,2017-09-06,217,Springfield,PA
general protestors,Protesting Trump's decision to end DACA,1,600.0,2017-09-06,217,Tucson,AZ
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-06,217,Watsonville,CA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-07,218,Cleveland,OH
Students: general protestors ,Protesting Trump's decision to end DACA,1,293.5,2017-09-07,218,Greeley ,CO
general protestors,Protesting Trump's decision to end DACA,1,530.0,2017-09-07,218,Hayward,CA
Students,Protesting Trump's decision to end DACA,1,200.0,2017-09-07,218,Huntington Beach,CA
general protestors,Protesting Trump's decision to end DACA,1,700.0,2017-09-07,218,Iowa City,IA
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-07,218,San Diego,CA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-07,218,Stony Brook,NY
general protestors,Protesting Trump's decision to end DACA,1,300.0,2017-09-08,219,Pittsburg ,KS
general protestors,Protesting Trump's decision to end DACA,1,400.0,2017-09-08,219,Portland,ME
Idaho ACLU,Protesting Trump's decision to end DACA,1,200.0,2017-09-09,220,Boise,ID
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-09,220,Hicksville ,NY
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-09,220,New York,NY
general protestors,Protesting Trump's decision to end DACA,1,2000.0,2017-09-09,220,Oakland,CA
CoMo for Progress,Protesting Trump's decision to end DACA,1,200.0,2017-09-10,221,Boone County,IL
Inclusive Dubuque; Indivisible Dubuque,Protesting Trump's decision to end DACA,1,80.0,2017-09-10,221,Dubuque ,IA
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-10,221,Las Vegas,NV
general protestors,Protesting Trump's decision to end DACA,1,250.0,2017-09-10,221,Petaluma,CA
general protestors,Urging congress to pass DREAM Act,1,200.0,2017-09-10,221,Springfield,IL
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-10,221,Tulsa,OK
"
Hampton Roads Grassroots Progressive Coalition",Protesting Trump's decision to end DACA,1,80.0,2017-09-10,221,Richmond,VA
general protestors,Protesting Trump's decision to end DACA,1,50.0,2017-09-10,221,Winston Salem,NC
general protestors,Protesting Trump's decision to end DACA,1,80.0,2017-09-11,222,Green Bay,WI
ACLU people power; general protestors,Protesting Trump's decision to end DACA,1,150.0,2017-09-12,223,Cache Valley ,UT
ACLU Power People of Cache Valley,Protesting Trump's decision to end DACA,1,200.0,2017-09-12,223,Logan,UT
National CAPACD & SAALT,Protesting Trump's decision to end DACA,1,51.0,2017-09-12,223,Washington,DC
students,Protesting Trump's decision to end DACA,1,300.0,2017-09-12,223,Bakersfield,CA
UCO Hispanic Student Association; general protestors,Protesting Trump's decision to end DACA,1,139.5,2017-09-13,224,Edmond ,OK
general protestors,Protesting DACA decision,1,100.0,2017-09-13,224,Painseville,OH
CCSU students,Rally for 2 clasmmate's parents who face deportation,1,100.0,2017-09-14,225,New Britain,CT
students,Protesting Trump's decision to end DACA,1,150.0,2017-09-14,225,Kentfield,CA
health care workers,"Protesting his stance on ACA, immigration, etc",1,200.0,2017-09-14,225,Lancaster,PA
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-15,226,Norman,OK
general protestors,Protesting Trump's decision to end DACA,1,100.0,2017-09-16,227,Boston ,MA
general protestors,Protesting Trump's decision to end DACA,1,300.0,2017-09-16,227,Little Rock,AR
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-16,227,Salt Lake City,UT
general protestors,Protesting Trumps DACA decision,1,100.0,2017-09-17,228,Marshall,TX
general protestors,Protesting Trump's decision to end DACA,1,200.0,2017-09-18,229,Modesto,CA
Clean Power Lake County,Protesting Trump's decision to end DACA,1,100.0,2017-09-19,230,Waukegan,IL
general protestors,Asking Davis to vote for Dream Act,1,70.0,2017-09-20,231,Champaign,IL
general protestors,Protesting anti-sanctuary city bill,1,100.0,2017-09-22,233,New Orleans,LA
students ,Protesting Trump's decision to end DACA,1,100.0,2017-09-22,233,Wichita ,KS
general protestors,Protesting deportation of local couple,1,100.0,2017-09-25,236,Hartford,CT
general protestors,Protesting Trump's decision to end DACA,1,50.0,2017-09-26,237,Washington,DC
students,Protesting Trump's decision to end DACA,1,100.0,2017-09-27,238,Mountain View,CA
CHISPAS; The Hispanic Student Association; Students Taking Action Against Racism,Protesting Trump's decision to end DACA,1,300.0,2017-09-28,239,Gainesville,FL
general protestors,Rally for immigrants,1,100.0,2017-09-30,241,Arlington Heights,IL
general protestors,Rally in support of immigrants,1,100.0,2017-09-30,241,Louisville,KY
In part by Uconn MSA,"end the ""muslim ban""",1.0,250.0,2017-02-01,0,Storrs,CT
general protestors,end immigration ban,1.0,1150.0,2017-02-01,0,West Hartford,CT
General protestors and students,Protest immigrant ban,1.0,125.0,2017-02-01,0,Manhattan,KS
Safe Communities Act Coalition ,immigration ban,1.0,200.0,2017-02-01,0,Boston,MA
General protest,immigration policy,1.0,200.0,2017-02-01,0,Worcester,MA
